"doc_id","text","dropped"
"3126 UgxP9rXIylQ-zQ865l94AaABAg","ယဥ်ကျေးစွာ Demo ကိုဒီနှစ်ပြောတာ မြင်ရလို့ ဝမ်းသာပါတယ်။ ဘယ်သူက နိုင်သင့်တယ် ဆိုတာ U.S.A ပြည်သူက အဖြေထွက်ပေးမှာ ဖြစ်ပေမယ့် ကျနော့် အနေနဲ့ ကြားနေ အယူကို နိုင်စေချင်ပါတယ်။",NA
"3133 UgzGPW40ZVnf_VUGwBx4AaABAg","အိုလဲ အိုကြပါပြီ။ လူသစ်လေးတွေကို ပြည်သူ့ကို ချစ်တဲ့စိတ်ဓာတ် ဖြစ်အောင် မွေးထောင်ပေးစေချင်တယ်။",NA
"3146 UgxU3l7WovPn-WuTZSh4AaABAg","Bat ba ako nanonood dito. May mas laking problema pa palang hinaharap yung bansa namin😂😭",NA
"3147 UgwKYXfAiWCzCRczrSx4AaABAg","Tramp iset Farrekt man
Tramp iset Farreta Farrekte Man Katastrofal.",NA
"3164 UgymHabhTC8IhLZYXEZ4AaABAg","❤❤❤",NA
"3165 UgzD8LJ0HoK1JMvq-NR4AaABAg","MAGA❤",NA
"3216 Ugyf0QJZ9ru9Y7bruQR4AaABAg","Mozna prawdziwie  dostac bialej goraczki na to co sie tu slyszy
 - szczegolnie i wlasnie wywoluje szczegolna irytacje, nawet  agresje w miare sluchania tego lunatyka, Bidem,  gdy slyszy sie co to za nonsensy wygaduje ten lunatyk Bidem, ktory ma powazny problemy z wyslowieniem sie ,  mysleniem‼️,-ktory nie ma logicznej argumentacji jest to przerazliwie dziecinnie zaprzeczanie/zachowanie starego niesprawnego czlowieka bez klasy, a nie argumentacja ktorej mu po prostu brakuje‼️prawdziwie zenujace to co zrobil ze swoim krajem i tymi ludzmi tego amerykanskiego  kraju co nie jest to obojetne nawet poza granicami, gdzie miesza wszedzie ze swoimi mackami z innego kontynentu‼️ - a propo, co wogole robia Amerykanie porozrzucani masowo w starej duuuuzo starszej Europie niz jest Ameryka‼️😎na innym kontynecie mowiac tam jak maja ci ludzie zyc⁉️‼️‼️‼️
Bidem czas juz w pore odejsc, oszczedzajac wielu kolejnych zenujacych osmieszajacych cie sytuacji pokazujac pelen obraz kim naaaprawde i jestes jaka tragedia nonszalancja/ arogancja z zerem empatii dla ludzi 😎
Bidem jestes marionetka oderwana od rzeczywistosci bardzo, bardzo mieszajaca w swiecie nagle jest balagan wszedzie nie tylko w Ameryce- ludzie czas sie przebudzic kto wami zarzadza i do czego was naprawde prowadzi‼️🤥😎",NA
"3220 UgwINAt-egypJhzjPgp4AaABAg","\"\" GREENVILLE TEXAS \"\"",NA
"3221 UgwRLqK1KieZ4VEq_AR4AaABAg","\"\" HI \"\"",NA
"3223 UgygwQsfmEMKrOsSlE94AaABAg","❤",NA
"3230 UgwoKlbZW1lRyiy3lXF4AaABAg","Soooo....Trump \"\"wins\"\"?",NA
"3260 UgzdVSHsGZXk9iLZNzF4AaABAg","the man in senile😂",NA
"3289 UgwY-1ORng0Umt2oG2t4AaABAg","I was kidnapped with the private jet of european",NA
"3292 UgxKCtQRC0HnFpRoget4AaABAg","Aбе. Хората се пенсионирват на 64. Тези двамата са единствените в света кьдето започват работа. Вече не ме е страх. Че ще навьрша 60г. Това е че при тях напикаването в панталона е рутинна работа. Куфарите са пьлни. С нови гащи и панталони. Това е лукс. Без да си вадиш оня работа. От години не си я докосвал. Ама пьк се мокриш.",NA
"3308 Ugzc2ro2r463WkGZd8R4AaABAg","Kompromitacja.",NA
"3344 Ugx-Pp9VyQuL9UnYe9d4AaABAg","Biden❤",NA
"3350 UgynNqmUAe_oV5vQnN94AaABAg","JOEY JIBBER JABBER!!!😳😳😳😳🙈😵‍💫😵‍💫👀",NA
"3353 Ugxfzp4rmrOav_kg8Rd4AaABAg","Motley: D.A.N.G.E.R. in Hollywood",NA
"3356 Ugxja2uCZ16gQ0OyZIp4AaABAg","What a bloodbath .",NA
"3362 UgxZjzucnNT5wpIbq3d4AaABAg","Zar je moćna Amerika spala na dva starca😢😢",NA
"3366 UgxBGZeVPbLqmOi5pvl4AaABAg","Dauglas mouser 😮",NA
"3367 UgwzDacsS-8S3T8ZPp54AaABAg","Kory parks",NA
"3368 UgyqDVZiYTiyNFNKE2F4AaABAg","Janice braughler",NA
"3369 UgzL8gFtV3h6cTi_Cex4AaABAg","Neil bloom",NA
"3370 Ugx1vPaw_J00kC9OWcR4AaABAg","Neil bloom",NA
"3379 Ugx-X6AzKfaDIBuADxN4AaABAg","Llewellyn 🎉",NA
"3392 Ugy3HwklrXcPabxOK2J4AaABAg","120 $   try 200 $",NA
"3432 UgxC5PNon_T2RuPStfh4AaABAg","K",NA
"3477 UgyceBz3YTwKon9Hcjd4AaABAg","And by the way... blublublublublub... and by the way... blublublublublub",NA
"3480 UgxPCsLwtXDPM1rwYUN4AaABAg","TRUMP🎉🎉🎉🎉🎉",NA
"3489 UgxlfWYjiXz2aPIOQOp4AaABAg","20:40 🤣",NA
"3497 UgxOhTILwOHpEMPJoPh4AaABAg","The punchline is at 10:12 - 11:20 😊😊",NA
"3591 UgxgcjKDRV8BJkTgE2V4AaABAg","TRUMP❤❤❤❤",NA
"3598 Ugze0oxb24JSlZHZSZ14AaABAg","I’m curious if there are calculations for breast size via genetics.",NA
"3612 Ugwjaa-2pq0g_L114V54AaABAg","Dela unicorn forma que botarmos por donal tromp es que le pongan el microchip en el servers para que le Regule lo pensamientos",NA
"3629 Ugx4hx_kKPs3d7GJUKt4AaABAg","Aster tromp deberia aserle esleep weprocro  como es eso con arpayo de arizona",NA
"3632 UgzOEtNUPhU0YoqpVl94AaABAg","#RUTOMUSTGO",NA
"3687 Ugy9F-iXo73RMO2acDV4AaABAg","Heavily edited... 😢",NA
"3692 UgxLPrNYtNK4i6FhsnN4AaABAg","is this laurel and hardy?!!",NA
"3704 UgxNYXRae1flBtynR714AaABAg","Теперь вы понимаете почему русские вмешиваются в выборы? 😅",NA
"3719 UgwRoGzRq5mqtyJWdxh4AaABAg","Sleept joe",NA
"3727 UgzHhxW2jlJ5pSxkEdp4AaABAg","Отпустите уже Байдена на покой! Ему тяжело. Он уже заслужил теплый плед, мягкие тапочки и симпатичную сиделку.",NA
"3752 Ugyj3i8zzZDGIA2N2Nt4AaABAg","Ww.",NA
"3754 UgxcTjG5QzOwKXFTRI94AaABAg","❤",NA
"3761 UgwgMrFKuMPirH4PU-N4AaABAg","5:57",NA
"3769 UgxDuJWQkJPSlHaZRVB4AaABAg","দুজনেই মিথ্যা কথা বলে",NA
